FIPS,State,County,Health Outcomes Z-Score,Health Outcomes Rank,Health Factors Z-Score,Health Factors Rank,year
42001,Pennsylvania,Adams,-0.44,17,-0.49,10,2020
42003,Pennsylvania,Allegheny,-0.51,14,-0.2,20,2020
42005,Pennsylvania,Armstrong,0.74,58,0.33,55,2020
42007,Pennsylvania,Beaver,0.25,44,0.34,56,2020
42009,Pennsylvania,Bedford,-0.44,16,-0.18,22,2020
42011,Pennsylvania,Berks,0.01,36,-0.02,26,2020
42013,Pennsylvania,Blair,0.24,43,0.12,37,2020
42015,Pennsylvania,Bradford,-0.18,25,0.15,40,2020
42017,Pennsylvania,Bucks,-1.24,5,-0.96,2,2020
42019,Pennsylvania,Butler,-1.14,6,-0.62,7,2020
42021,Pennsylvania,Cambria,1.33,64,0.23,44,2020
42023,Pennsylvania,Cameron,0.22,42,-0.02,27,2020
42025,Pennsylvania,Carbon,0.74,59,0.27,49,2020
42027,Pennsylvania,Centre,-1.82,2,-0.8,5,2020
42029,Pennsylvania,Chester,-1.66,3,-0.96,3,2020
42031,Pennsylvania,Clarion,-0.13,27,0.13,38,2020
42033,Pennsylvania,Clearfield,0.26,45,0.45,62,2020
42035,Pennsylvania,Clinton,-0.54,13,0.11,35,2020
42037,Pennsylvania,Columbia,0.32,47,-0.05,25,2020
42039,Pennsylvania,Crawford,0.53,52,0.25,48,2020
42041,Pennsylvania,Cumberland,-1.06,7,-0.84,4,2020
42043,Pennsylvania,Dauphin,0.49,50,0.15,39,2020
42045,Pennsylvania,Delaware,-0.01,34,-0.46,12,2020
42047,Pennsylvania,Elk,0.03,37,-0.47,11,2020
42049,Pennsylvania,Erie,0.68,57,0.39,58,2020
42051,Pennsylvania,Fayette,1.72,66,1.01,66,2020
42053,Pennsylvania,Forest,-0.33,20,0.68,65,2020
42055,Pennsylvania,Franklin,-0.5,15,-0.14,24,2020
42057,Pennsylvania,Fulton,-0.01,35,0.06,32,2020
42059,Pennsylvania,Greene,0.84,61,0.47,63,2020
42061,Pennsylvania,Huntingdon,0.19,39,0.28,51,2020
42063,Pennsylvania,Indiana,0.3,46,0.37,57,2020
42065,Pennsylvania,Jefferson,-0.06,32,0.06,31,2020
42067,Pennsylvania,Juniata,-0.41,18,-0.2,21,2020
42069,Pennsylvania,Lackawanna,0.84,60,0.25,47,2020
42071,Pennsylvania,Lancaster,-0.84,9,-0.59,9,2020
42073,Pennsylvania,Lawrence,1.37,65,0.32,54,2020
42075,Pennsylvania,Lebanon,-0.36,19,-0.29,16,2020
42077,Pennsylvania,Lehigh,-0.26,22,0.06,33,2020
42079,Pennsylvania,Luzerne,0.94,62,0.52,64,2020
42081,Pennsylvania,Lycoming,-0.09,29,0.02,29,2020
42083,Pennsylvania,McKean,0.67,56,0.42,61,2020
42085,Pennsylvania,Mercer,0.54,53,0.27,50,2020
42087,Pennsylvania,Mifflin,0.21,41,0.32,53,2020
42089,Pennsylvania,Monroe,0.18,38,0.21,43,2020
42091,Pennsylvania,Montgomery,-1.62,4,-1.13,1,2020
42093,Pennsylvania,Montour,-0.7,10,-0.77,6,2020
42095,Pennsylvania,Northampton,-0.64,11,-0.27,17,2020
42097,Pennsylvania,Northumberland,0.66,55,0.39,59,2020
42099,Pennsylvania,Perry,-0.07,30,-0.35,14,2020
42101,Pennsylvania,Philadelphia,2.22,67,1.35,67,2020
42103,Pennsylvania,Pike,-0.26,23,0.05,30,2020
42105,Pennsylvania,Potter,0.49,51,0.42,60,2020
42107,Pennsylvania,Schuylkill,0.98,63,0.19,42,2020
42109,Pennsylvania,Snyder,-0.94,8,-0.23,19,2020
42111,Pennsylvania,Somerset,-0.07,31,0.23,45,2020
42113,Pennsylvania,Sullivan,-0.1,28,0.12,36,2020
42115,Pennsylvania,Susquehanna,0.21,40,0.3,52,2020
42117,Pennsylvania,Tioga,-0.55,12,0.17,41,2020
42119,Pennsylvania,Union,-1.88,1,-0.6,8,2020
42121,Pennsylvania,Venango,0.35,48,0.25,46,2020
42123,Pennsylvania,Warren,-0.15,26,-0.16,23,2020
42125,Pennsylvania,Washington,-0.03,33,-0.32,15,2020
42127,Pennsylvania,Wayne,-0.29,21,-0.02,28,2020
42129,Pennsylvania,Westmoreland,0.35,49,-0.24,18,2020
42131,Pennsylvania,Wyoming,0.63,54,0.1,34,2020
42133,Pennsylvania,York,-0.24,24,-0.36,13,2020
