FIPS,State,County,Health Outcomes Z-Score,Health Outcomes Rank,Health Factors Z-Score,Health Factors Rank,year
42001,Pennsylvania,Adams,-0.96,9,-0.43,10,2017
42003,Pennsylvania,Allegheny,-0.05,29,-0.19,20,2017
42005,Pennsylvania,Armstrong,0.43,50,0.3,59,2017
42007,Pennsylvania,Beaver,0.11,38,0.27,55,2017
42009,Pennsylvania,Bedford,-0.24,21,0.09,34,2017
42011,Pennsylvania,Berks,-0.16,24,0.05,33,2017
42013,Pennsylvania,Blair,0.34,47,0.15,39,2017
42015,Pennsylvania,Bradford,0.26,43,0.29,57,2017
42017,Pennsylvania,Bucks,-1.09,6,-0.98,2,2017
42019,Pennsylvania,Butler,-1.05,7,-0.73,5,2017
42021,Pennsylvania,Cambria,0.93,63,0.17,43,2017
42023,Pennsylvania,Cameron,-1.01,8,0.03,32,2017
42025,Pennsylvania,Carbon,0.5,54,0.27,56,2017
42027,Pennsylvania,Centre,-1.64,2,-0.66,7,2017
42029,Pennsylvania,Chester,-1.77,1,-0.95,3,2017
42031,Pennsylvania,Clarion,0.61,58,0.12,36,2017
42033,Pennsylvania,Clearfield,-0.02,31,0.25,49,2017
42035,Pennsylvania,Clinton,-0.03,30,0.26,53,2017
42037,Pennsylvania,Columbia,0.21,41,0.01,29,2017
42039,Pennsylvania,Crawford,0.36,48,0.25,50,2017
42041,Pennsylvania,Cumberland,-1.43,5,-0.87,4,2017
42043,Pennsylvania,Dauphin,0.16,39,-0.01,28,2017
42045,Pennsylvania,Delaware,-0.11,26,-0.32,13,2017
42047,Pennsylvania,Elk,-0.02,32,-0.42,11,2017
42049,Pennsylvania,Erie,0.52,56,0.34,60,2017
42051,Pennsylvania,Fayette,1.43,65,1.09,66,2017
42053,Pennsylvania,Forest,-0.07,28,0.87,65,2017
42055,Pennsylvania,Franklin,-0.57,13,-0.21,16,2017
42057,Pennsylvania,Fulton,0.28,44,0.19,44,2017
42059,Pennsylvania,Greene,0.51,55,0.43,63,2017
42061,Pennsylvania,Huntingdon,-0.11,27,0.16,41,2017
42063,Pennsylvania,Indiana,0.42,49,0.45,64,2017
42065,Pennsylvania,Jefferson,0.61,59,0.15,38,2017
42067,Pennsylvania,Juniata,-0.22,22,-0.11,23,2017
42069,Pennsylvania,Lackawanna,0.6,57,0.21,47,2017
42071,Pennsylvania,Lancaster,-0.74,10,-0.45,9,2017
42073,Pennsylvania,Lawrence,0.73,60,0.41,62,2017
42075,Pennsylvania,Lebanon,-0.29,19,-0.37,12,2017
42077,Pennsylvania,Lehigh,0.18,40,-0.02,26,2017
42079,Pennsylvania,Luzerne,0.9,62,0.3,58,2017
42081,Pennsylvania,Lycoming,-0.01,33,0.2,46,2017
42083,Pennsylvania,McKean,0.49,52,0.35,61,2017
42085,Pennsylvania,Mercer,0.44,51,0.02,31,2017
42087,Pennsylvania,Mifflin,0.22,42,0.26,54,2017
42089,Pennsylvania,Monroe,0.5,53,0.13,37,2017
42091,Pennsylvania,Montgomery,-1.61,4,-1.28,1,2017
42093,Pennsylvania,Montour,-0.28,20,-0.73,6,2017
42095,Pennsylvania,Northampton,-0.42,15,-0.15,21,2017
42097,Pennsylvania,Northumberland,0.32,46,0.2,45,2017
42099,Pennsylvania,Perry,-0.29,18,-0.2,19,2017
42101,Pennsylvania,Philadelphia,2.8,67,1.44,67,2017
42103,Pennsylvania,Pike,-0.74,11,-0.13,22,2017
42105,Pennsylvania,Potter,-0.12,25,0.25,52,2017
42107,Pennsylvania,Schuylkill,0.95,64,0.25,51,2017
42109,Pennsylvania,Snyder,-0.53,14,-0.31,14,2017
42111,Pennsylvania,Somerset,0.01,36,0.24,48,2017
42113,Pennsylvania,Sullivan,1.61,66,0.15,40,2017
42115,Pennsylvania,Susquehanna,0.84,61,0.1,35,2017
42117,Pennsylvania,Tioga,0.01,35,-0.02,27,2017
42119,Pennsylvania,Union,-1.62,3,-0.58,8,2017
42121,Pennsylvania,Venango,0.28,45,0.16,42,2017
42123,Pennsylvania,Warren,-0.16,23,-0.2,18,2017
42125,Pennsylvania,Washington,0,34,-0.07,24,2017
42127,Pennsylvania,Wayne,-0.3,17,-0.05,25,2017
42129,Pennsylvania,Westmoreland,-0.36,16,-0.2,17,2017
42131,Pennsylvania,Wyoming,0.11,37,0.01,30,2017
42133,Pennsylvania,York,-0.64,12,-0.23,15,2017
