FIPS,State,County,Health Outcomes Z-Score,Health Outcomes Rank,Health Factors Z-Score,Health Factors Rank,year
42001,Pennsylvania,Adams,-0.59,13,-0.4,11,2014
42003,Pennsylvania,Allegheny,0.13,40,-0.29,15,2014
42005,Pennsylvania,Armstrong,0.02,36,0.15,41,2014
42007,Pennsylvania,Beaver,0.2,43,0.03,34,2014
42009,Pennsylvania,Bedford,-0.45,17,0.15,40,2014
42011,Pennsylvania,Berks,-0.45,16,-0.08,21,2014
42013,Pennsylvania,Blair,0.33,51,0.04,36,2014
42015,Pennsylvania,Bradford,-0.2,26,-0.01,30,2014
42017,Pennsylvania,Bucks,-0.88,10,-1.01,5,2014
42019,Pennsylvania,Butler,-0.99,8,-0.79,6,2014
42021,Pennsylvania,Cambria,0.83,60,0.33,55,2014
42023,Pennsylvania,Cameron,-0.03,34,0.81,64,2014
42025,Pennsylvania,Carbon,0.29,49,0.43,62,2014
42027,Pennsylvania,Centre,-1.51,3,-1.08,3,2014
42029,Pennsylvania,Chester,-1.51,2,-1.23,1,2014
42031,Pennsylvania,Clarion,-0.24,24,0,31,2014
42033,Pennsylvania,Clearfield,-0.04,33,0.03,35,2014
42035,Pennsylvania,Clinton,-0.31,22,0.29,53,2014
42037,Pennsylvania,Columbia,0.19,42,-0.02,28,2014
42039,Pennsylvania,Crawford,-0.05,31,0.15,42,2014
42041,Pennsylvania,Cumberland,-1.35,4,-1.02,4,2014
42043,Pennsylvania,Dauphin,0.35,52,0.11,37,2014
42045,Pennsylvania,Delaware,0.15,41,-0.3,14,2014
42047,Pennsylvania,Elk,0.99,62,0.01,32,2014
42049,Pennsylvania,Erie,0.3,50,0.14,39,2014
42051,Pennsylvania,Fayette,1.78,65,0.95,66,2014
42053,Pennsylvania,Forest,1.8,66,0.82,65,2014
42055,Pennsylvania,Franklin,-0.53,15,0.02,33,2014
42057,Pennsylvania,Fulton,-0.15,27,0.34,56,2014
42059,Pennsylvania,Greene,1.69,64,0.61,63,2014
42061,Pennsylvania,Huntingdon,-0.2,25,0.19,45,2014
42063,Pennsylvania,Indiana,-0.04,32,-0.07,23,2014
42065,Pennsylvania,Jefferson,0.92,61,0.37,57,2014
42067,Pennsylvania,Juniata,-0.99,7,-0.22,19,2014
42069,Pennsylvania,Lackawanna,0.54,56,-0.02,29,2014
42071,Pennsylvania,Lancaster,-0.92,9,-0.52,8,2014
42073,Pennsylvania,Lawrence,0.71,58,0.18,44,2014
42075,Pennsylvania,Lebanon,-0.61,12,-0.42,10,2014
42077,Pennsylvania,Lehigh,-0.43,19,-0.1,20,2014
42079,Pennsylvania,Luzerne,0.57,57,0.38,58,2014
42081,Pennsylvania,Lycoming,-0.39,20,-0.03,24,2014
42083,Pennsylvania,McKean,0.24,47,0.28,51,2014
42085,Pennsylvania,Mercer,0.28,48,0.11,38,2014
42087,Pennsylvania,Mifflin,0.12,39,0.19,46,2014
42089,Pennsylvania,Monroe,-0.09,30,0.25,48,2014
42091,Pennsylvania,Montgomery,-1.23,5,-1.23,2,2014
42093,Pennsylvania,Montour,-0.13,28,-0.76,7,2014
42095,Pennsylvania,Northampton,-0.33,21,-0.36,12,2014
42097,Pennsylvania,Northumberland,0.01,35,0.26,50,2014
42099,Pennsylvania,Perry,0.21,44,-0.03,25,2014
42101,Pennsylvania,Philadelphia,2.56,67,1.59,67,2014
42103,Pennsylvania,Pike,-0.86,11,-0.02,26,2014
42105,Pennsylvania,Potter,0.77,59,0.29,52,2014
42107,Pennsylvania,Schuylkill,0.38,53,0.39,59,2014
42109,Pennsylvania,Snyder,-1.13,6,-0.26,16,2014
42111,Pennsylvania,Somerset,0.04,38,0.24,47,2014
42113,Pennsylvania,Sullivan,1.57,63,0.31,54,2014
42115,Pennsylvania,Susquehanna,0.49,55,0.42,60,2014
42117,Pennsylvania,Tioga,-0.58,14,-0.02,27,2014
42119,Pennsylvania,Union,-1.55,1,-0.5,9,2014
42121,Pennsylvania,Venango,0.22,45,0.26,49,2014
42123,Pennsylvania,Warren,0.24,46,0.17,43,2014
42125,Pennsylvania,Washington,0.03,37,-0.23,18,2014
42127,Pennsylvania,Wayne,-0.12,29,-0.08,22,2014
42129,Pennsylvania,Westmoreland,-0.25,23,-0.33,13,2014
42131,Pennsylvania,Wyoming,0.47,54,0.42,61,2014
42133,Pennsylvania,York,-0.44,18,-0.24,17,2014
