"","GEOID","NAME","variable","estimate","moe"
"1","42001","Adams County, Pennsylvania","totpop",101546,NA
"2","42001","Adams County, Pennsylvania","medage",42.6,0.6
"3","42001","Adams County, Pennsylvania","totpopwhite",93557,1009
"4","42001","Adams County, Pennsylvania","bachdegree",9485,1430
"5","42001","Adams County, Pennsylvania","medincome",26889,1275
"6","42003","Allegheny County, Pennsylvania","totpop",1231527,NA
"7","42003","Allegheny County, Pennsylvania","medage",40.8,0.2
"8","42003","Allegheny County, Pennsylvania","totpopwhite",999483,1410
"9","42003","Allegheny County, Pennsylvania","bachdegree",199871,5583
"10","42003","Allegheny County, Pennsylvania","medincome",28839,753
"11","42005","Armstrong County, Pennsylvania","totpop",68107,NA
"12","42005","Armstrong County, Pennsylvania","medage",45.7,0.4
"13","42005","Armstrong County, Pennsylvania","totpopwhite",NA,NA
"14","42005","Armstrong County, Pennsylvania","bachdegree",5104,884
"15","42005","Armstrong County, Pennsylvania","medincome",22995,1883
"16","42007","Beaver County, Pennsylvania","totpop",170115,NA
"17","42007","Beaver County, Pennsylvania","medage",45,0.3
"18","42007","Beaver County, Pennsylvania","totpopwhite",155039,309
"19","42007","Beaver County, Pennsylvania","bachdegree",21289,1812
"20","42007","Beaver County, Pennsylvania","medincome",26470,1089
"21","42011","Berks County, Pennsylvania","totpop",413521,NA
"22","42011","Berks County, Pennsylvania","medage",39.9,0.4
"23","42011","Berks County, Pennsylvania","totpopwhite",342426,3639
"24","42011","Berks County, Pennsylvania","bachdegree",39593,2832
"25","42011","Berks County, Pennsylvania","medincome",27801,1048
"26","42013","Blair County, Pennsylvania","totpop",126314,NA
"27","42013","Blair County, Pennsylvania","medage",43.1,0.6
"28","42013","Blair County, Pennsylvania","totpopwhite",NA,NA
"29","42013","Blair County, Pennsylvania","bachdegree",12498,1703
"30","42013","Blair County, Pennsylvania","medincome",22596,1469
"31","42017","Bucks County, Pennsylvania","totpop",626976,NA
"32","42017","Bucks County, Pennsylvania","medage",42.6,0.2
"33","42017","Bucks County, Pennsylvania","totpopwhite",558137,2613
"34","42017","Bucks County, Pennsylvania","bachdegree",101025,4544
"35","42017","Bucks County, Pennsylvania","medincome",34287,1200
"36","42019","Butler County, Pennsylvania","totpop",185476,NA
"37","42019","Butler County, Pennsylvania","medage",43,0.4
"38","42019","Butler County, Pennsylvania","totpopwhite",178509,604
"39","42019","Butler County, Pennsylvania","bachdegree",27267,2156
"40","42019","Butler County, Pennsylvania","medincome",29204,2013
"41","42021","Cambria County, Pennsylvania","totpop",140499,NA
"42","42021","Cambria County, Pennsylvania","medage",44.4,0.4
"43","42021","Cambria County, Pennsylvania","totpopwhite",131551,596
"44","42021","Cambria County, Pennsylvania","bachdegree",11808,1531
"45","42021","Cambria County, Pennsylvania","medincome",22878,1378
"46","42025","Carbon County, Pennsylvania","totpop",64786,NA
"47","42025","Carbon County, Pennsylvania","medage",45,0.8
"48","42025","Carbon County, Pennsylvania","totpopwhite",62093,450
"49","42025","Carbon County, Pennsylvania","bachdegree",4396,1159
"50","42025","Carbon County, Pennsylvania","medincome",22593,1350
"51","42027","Centre County, Pennsylvania","totpop",155403,NA
"52","42027","Centre County, Pennsylvania","medage",30.2,0.5
"53","42027","Centre County, Pennsylvania","totpopwhite",138848,800
"54","42027","Centre County, Pennsylvania","bachdegree",18590,2001
"55","42027","Centre County, Pennsylvania","medincome",23619,2105
"56","42029","Chester County, Pennsylvania","totpop",509468,NA
"57","42029","Chester County, Pennsylvania","medage",40.3,0.3
"58","42029","Chester County, Pennsylvania","totpopwhite",442682,2188
"59","42029","Chester County, Pennsylvania","bachdegree",100511,4581
"60","42029","Chester County, Pennsylvania","medincome",36968,882
"61","42033","Clearfield County, Pennsylvania","totpop",81174,NA
"62","42033","Clearfield County, Pennsylvania","medage",43.4,0.4
"63","42033","Clearfield County, Pennsylvania","totpopwhite",77409,262
"64","42033","Clearfield County, Pennsylvania","bachdegree",6482,1026
"65","42033","Clearfield County, Pennsylvania","medincome",20681,1003
"66","42037","Columbia County, Pennsylvania","totpop",66797,NA
"67","42037","Columbia County, Pennsylvania","medage",39.7,1.2
"68","42037","Columbia County, Pennsylvania","totpopwhite",NA,NA
"69","42037","Columbia County, Pennsylvania","bachdegree",5854,749
"70","42037","Columbia County, Pennsylvania","medincome",23213,2041
"71","42039","Crawford County, Pennsylvania","totpop",87376,NA
"72","42039","Crawford County, Pennsylvania","medage",42.4,0.5
