FIPS,State,County,Health Outcomes Z-Score,Health Outcomes Rank,Health Factors Z-Score,Health Factors Rank,year
42001,Pennsylvania,Adams,-0.46,17,-0.29,15,2015
42003,Pennsylvania,Allegheny,-0.02,34,-0.22,19,2015
42005,Pennsylvania,Armstrong,0.07,36,0.24,48,2015
42007,Pennsylvania,Beaver,0.15,43,0.12,40,2015
42009,Pennsylvania,Bedford,-0.59,13,0.21,44,2015
42011,Pennsylvania,Berks,-0.36,20,0.01,30,2015
42013,Pennsylvania,Blair,0.21,48,0.07,37,2015
42015,Pennsylvania,Bradford,-0.59,14,0.11,39,2015
42017,Pennsylvania,Bucks,-0.63,12,-0.86,6,2015
42019,Pennsylvania,Butler,-0.8,9,-0.69,7,2015
42021,Pennsylvania,Cambria,0.84,60,0.23,46,2015
42023,Pennsylvania,Cameron,-0.53,15,0.68,64,2015
42025,Pennsylvania,Carbon,0.52,57,0.57,62,2015
42027,Pennsylvania,Centre,-1.41,2,-1,2,2015
42029,Pennsylvania,Chester,-1.21,4,-1,3,2015
42031,Pennsylvania,Clarion,-0.24,24,0.04,34,2015
42033,Pennsylvania,Clearfield,-0.08,29,0.01,29,2015
42035,Pennsylvania,Clinton,-0.06,32,0.2,43,2015
42037,Pennsylvania,Columbia,0.07,38,0.02,33,2015
42039,Pennsylvania,Crawford,0.15,44,-0.06,26,2015
42041,Pennsylvania,Cumberland,-1.13,5,-0.99,4,2015
42043,Pennsylvania,Dauphin,0.17,45,0.01,32,2015
42045,Pennsylvania,Delaware,0.08,39,-0.29,16,2015
42047,Pennsylvania,Elk,1.09,62,-0.09,25,2015
42049,Pennsylvania,Erie,0.29,51,0.18,42,2015
42051,Pennsylvania,Fayette,1.46,64,0.9,65,2015
42053,Pennsylvania,Forest,1.55,65,0.97,66,2015
42055,Pennsylvania,Franklin,-0.42,18,-0.19,21,2015
42057,Pennsylvania,Fulton,0.07,37,0.33,56,2015
42059,Pennsylvania,Greene,1.3,63,0.59,63,2015
42061,Pennsylvania,Huntingdon,-0.09,28,0.23,47,2015
42063,Pennsylvania,Indiana,0.08,40,0.05,36,2015
42065,Pennsylvania,Jefferson,0.4,54,0.3,53,2015
42067,Pennsylvania,Juniata,-1.22,3,-0.33,13,2015
42069,Pennsylvania,Lackawanna,0.43,56,0.15,41,2015
42071,Pennsylvania,Lancaster,-0.85,8,-0.53,9,2015
42073,Pennsylvania,Lawrence,0.89,61,0.27,50,2015
42075,Pennsylvania,Lebanon,-0.65,11,-0.46,10,2015
42077,Pennsylvania,Lehigh,-0.33,21,0.04,35,2015
42079,Pennsylvania,Luzerne,0.61,58,0.42,60,2015
42081,Pennsylvania,Lycoming,-0.25,23,-0.14,22,2015
42083,Pennsylvania,McKean,0.2,47,0.38,59,2015
42085,Pennsylvania,Mercer,0.09,41,0.1,38,2015
42087,Pennsylvania,Mifflin,0.11,42,-0.05,28,2015
42089,Pennsylvania,Monroe,-0.19,26,0.33,57,2015
42091,Pennsylvania,Montgomery,-1.03,6,-1.06,1,2015
42093,Pennsylvania,Montour,-0.32,22,-0.94,5,2015
42095,Pennsylvania,Northampton,-0.16,27,-0.34,12,2015
42097,Pennsylvania,Northumberland,0.26,49,0.25,49,2015
42099,Pennsylvania,Perry,0.28,50,-0.22,18,2015
42101,Pennsylvania,Philadelphia,1.99,67,1.44,67,2015
42103,Pennsylvania,Pike,-0.74,10,-0.1,24,2015
42105,Pennsylvania,Potter,-0.01,35,0.31,54,2015
42107,Pennsylvania,Schuylkill,0.4,55,0.33,55,2015
42109,Pennsylvania,Snyder,-0.93,7,-0.35,11,2015
42111,Pennsylvania,Somerset,0.19,46,0.29,52,2015
42113,Pennsylvania,Sullivan,1.58,66,0.28,51,2015
42115,Pennsylvania,Susquehanna,0.66,59,0.45,61,2015
42117,Pennsylvania,Tioga,-0.49,16,-0.05,27,2015
42119,Pennsylvania,Union,-1.71,1,-0.54,8,2015
42121,Pennsylvania,Venango,0.35,52,0.22,45,2015
42123,Pennsylvania,Warren,-0.08,30,0.01,31,2015
42125,Pennsylvania,Washington,-0.02,33,-0.2,20,2015
42127,Pennsylvania,Wayne,-0.08,31,-0.11,23,2015
42129,Pennsylvania,Westmoreland,-0.21,25,-0.31,14,2015
42131,Pennsylvania,Wyoming,0.4,53,0.34,58,2015
42133,Pennsylvania,York,-0.39,19,-0.26,17,2015
