FIPS,State,County,Health Outcomes Z-Score,Health Outcomes Rank,Health Factors Z-Score,Health Factors Rank,year
42001,Pennsylvania,Adams,-0.86,8,-0.36,14,2016
42003,Pennsylvania,Allegheny,-0.12,26,-0.14,21,2016
42005,Pennsylvania,Armstrong,0.28,49,0.24,45,2016
42007,Pennsylvania,Beaver,0.15,39,0.19,42,2016
42009,Pennsylvania,Bedford,-0.28,22,0.29,54,2016
42011,Pennsylvania,Berks,-0.15,25,0.02,27,2016
42013,Pennsylvania,Blair,0.23,46,0.08,30,2016
42015,Pennsylvania,Bradford,-0.26,23,0.15,38,2016
42017,Pennsylvania,Bucks,-1.05,6,-0.94,3,2016
42019,Pennsylvania,Butler,-0.94,7,-0.7,8,2016
42021,Pennsylvania,Cambria,0.91,63,0.31,57,2016
42023,Pennsylvania,Cameron,-0.55,11,0.09,34,2016
42025,Pennsylvania,Carbon,0.59,58,0.35,62,2016
42027,Pennsylvania,Centre,-1.52,4,-0.84,5,2016
42029,Pennsylvania,Chester,-1.86,1,-1.11,2,2016
42031,Pennsylvania,Clarion,0.33,50,0.1,36,2016
42033,Pennsylvania,Clearfield,0.2,44,0.24,46,2016
42035,Pennsylvania,Clinton,0.05,36,0.34,61,2016
42037,Pennsylvania,Columbia,0.11,37,0.09,33,2016
42039,Pennsylvania,Crawford,0.43,54,0.09,35,2016
42041,Pennsylvania,Cumberland,-1.42,5,-0.9,4,2016
42043,Pennsylvania,Dauphin,0.33,51,0,26,2016
42045,Pennsylvania,Delaware,0.03,35,-0.32,15,2016
42047,Pennsylvania,Elk,-0.02,33,-0.37,13,2016
42049,Pennsylvania,Erie,0.23,45,0.3,56,2016
42051,Pennsylvania,Fayette,1.67,66,1.07,66,2016
42053,Pennsylvania,Forest,0.16,40,0.92,65,2016
42055,Pennsylvania,Franklin,-0.52,13,-0.21,19,2016
42057,Pennsylvania,Fulton,-0.03,31,0.25,48,2016
42059,Pennsylvania,Greene,0.63,59,0.46,64,2016
42061,Pennsylvania,Huntingdon,-0.08,27,0.21,43,2016
42063,Pennsylvania,Indiana,0.19,42,0.3,55,2016
42065,Pennsylvania,Jefferson,0.47,56,0.27,51,2016
42067,Pennsylvania,Juniata,-0.54,12,-0.14,22,2016
42069,Pennsylvania,Lackawanna,0.72,60,0.04,28,2016
42071,Pennsylvania,Lancaster,-0.85,9,-0.62,9,2016
42073,Pennsylvania,Lawrence,0.85,62,0.26,50,2016
42075,Pennsylvania,Lebanon,-0.41,16,-0.45,10,2016
42077,Pennsylvania,Lehigh,-0.06,28,-0.08,24,2016
42079,Pennsylvania,Luzerne,0.97,64,0.28,53,2016
42081,Pennsylvania,Lycoming,-0.33,19,0.07,29,2016
42083,Pennsylvania,McKean,0.34,52,0.24,47,2016
42085,Pennsylvania,Mercer,0.26,47,0.32,60,2016
42087,Pennsylvania,Mifflin,0.44,55,0.32,59,2016
42089,Pennsylvania,Monroe,0.26,48,0.23,44,2016
42091,Pennsylvania,Montgomery,-1.59,3,-1.2,1,2016
42093,Pennsylvania,Montour,-0.4,17,-0.73,6,2016
42095,Pennsylvania,Northampton,-0.38,18,-0.39,12,2016
42097,Pennsylvania,Northumberland,0.56,57,0.28,52,2016
42099,Pennsylvania,Perry,-0.03,32,-0.12,23,2016
42101,Pennsylvania,Philadelphia,3.01,67,1.61,67,2016
42103,Pennsylvania,Pike,-0.49,14,-0.22,18,2016
42105,Pennsylvania,Potter,-0.05,29,0.36,63,2016
42107,Pennsylvania,Schuylkill,0.76,61,0.26,49,2016
42109,Pennsylvania,Snyder,-0.56,10,-0.4,11,2016
42111,Pennsylvania,Somerset,0.13,38,0.31,58,2016
42113,Pennsylvania,Sullivan,1.58,65,0.14,37,2016
42115,Pennsylvania,Susquehanna,0.42,53,0.18,40,2016
42117,Pennsylvania,Tioga,-0.04,30,0.08,31,2016
42119,Pennsylvania,Union,-1.74,2,-0.71,7,2016
42121,Pennsylvania,Venango,0.17,41,0.19,41,2016
42123,Pennsylvania,Warren,-0.02,34,-0.16,20,2016
42125,Pennsylvania,Washington,-0.3,21,-0.06,25,2016
42127,Pennsylvania,Wayne,-0.16,24,0.09,32,2016
42129,Pennsylvania,Westmoreland,-0.32,20,-0.28,17,2016
42131,Pennsylvania,Wyoming,0.19,43,0.15,39,2016
42133,Pennsylvania,York,-0.47,15,-0.3,16,2016
