"","GEOID","NAME","variable","estimate","moe"
"1","42001","Adams County, Pennsylvania","totpop",101434,NA
"2","42001","Adams County, Pennsylvania","medage",42,0.4
"3","42001","Adams County, Pennsylvania","totpopwhite",93533,779
"4","42001","Adams County, Pennsylvania","bachdegree",8451,1182
"5","42001","Adams County, Pennsylvania","medincome",25565,1838
"6","42003","Allegheny County, Pennsylvania","totpop",1227066,NA
"7","42003","Allegheny County, Pennsylvania","medage",41.1,0.2
"8","42003","Allegheny County, Pennsylvania","totpopwhite",997533,2544
"9","42003","Allegheny County, Pennsylvania","bachdegree",175197,5930
"10","42003","Allegheny County, Pennsylvania","medincome",26477,469
"11","42005","Armstrong County, Pennsylvania","totpop",68568,NA
"12","42005","Armstrong County, Pennsylvania","medage",44.9,0.3
"13","42005","Armstrong County, Pennsylvania","totpopwhite",67300,245
"14","42005","Armstrong County, Pennsylvania","bachdegree",4897,769
"15","42005","Armstrong County, Pennsylvania","medincome",25112,1511
"16","42007","Beaver County, Pennsylvania","totpop",170414,NA
"17","42007","Beaver County, Pennsylvania","medage",44.3,0.4
"18","42007","Beaver County, Pennsylvania","totpopwhite",155057,486
"19","42007","Beaver County, Pennsylvania","bachdegree",17388,2033
"20","42007","Beaver County, Pennsylvania","medincome",25193,1030
"21","42011","Berks County, Pennsylvania","totpop",412778,NA
"22","42011","Berks County, Pennsylvania","medage",39.6,0.3
"23","42011","Berks County, Pennsylvania","totpopwhite",345850,3780
"24","42011","Berks County, Pennsylvania","bachdegree",41917,3199
"25","42011","Berks County, Pennsylvania","medincome",26340,754
"26","42013","Blair County, Pennsylvania","totpop",127099,NA
"27","42013","Blair County, Pennsylvania","medage",42.4,0.5
"28","42013","Blair County, Pennsylvania","totpopwhite",122334,220
"29","42013","Blair County, Pennsylvania","bachdegree",10976,1634
"30","42013","Blair County, Pennsylvania","medincome",22467,947
"31","42017","Bucks County, Pennsylvania","totpop",626854,NA
"32","42017","Bucks County, Pennsylvania","medage",42.3,0.2
"33","42017","Bucks County, Pennsylvania","totpopwhite",560721,2648
"34","42017","Bucks County, Pennsylvania","bachdegree",94130,4564
"35","42017","Bucks County, Pennsylvania","medincome",34423,985
"36","42019","Butler County, Pennsylvania","totpop",184848,NA
"37","42019","Butler County, Pennsylvania","medage",41.6,0.6
"38","42019","Butler County, Pennsylvania","totpopwhite",178447,379
"39","42019","Butler County, Pennsylvania","bachdegree",27821,2291
"40","42019","Butler County, Pennsylvania","medincome",28155,1427
"41","42021","Cambria County, Pennsylvania","totpop",143728,NA
"42","42021","Cambria County, Pennsylvania","medage",43.9,0.6
"43","42021","Cambria County, Pennsylvania","totpopwhite",134522,392
"44","42021","Cambria County, Pennsylvania","bachdegree",11841,1333
"45","42021","Cambria County, Pennsylvania","medincome",21281,958
"46","42025","Carbon County, Pennsylvania","totpop",65154,NA
"47","42025","Carbon County, Pennsylvania","medage",44.4,0.4
"48","42025","Carbon County, Pennsylvania","totpopwhite",NA,NA
"49","42025","Carbon County, Pennsylvania","bachdegree",5217,1315
"50","42025","Carbon County, Pennsylvania","medincome",22183,2033
"51","42027","Centre County, Pennsylvania","totpop",154722,NA
"52","42027","Centre County, Pennsylvania","medage",29.1,0.5
"53","42027","Centre County, Pennsylvania","totpopwhite",138082,612
"54","42027","Centre County, Pennsylvania","bachdegree",17970,1902
"55","42027","Centre County, Pennsylvania","medincome",20585,1056
"56","42029","Chester County, Pennsylvania","totpop",503897,NA
"57","42029","Chester County, Pennsylvania","medage",39.6,0.4
"58","42029","Chester County, Pennsylvania","totpopwhite",441438,1942
"59","42029","Chester County, Pennsylvania","bachdegree",93321,3700
"60","42029","Chester County, Pennsylvania","medincome",36895,959
"61","42033","Clearfield County, Pennsylvania","totpop",81445,NA
"62","42033","Clearfield County, Pennsylvania","medage",44.1,0.5
"63","42033","Clearfield County, Pennsylvania","totpopwhite",77686,352
"64","42033","Clearfield County, Pennsylvania","bachdegree",5665,1043
"65","42033","Clearfield County, Pennsylvania","medincome",21300,1186
"66","42037","Columbia County, Pennsylvania","totpop",67476,NA
"67","42037","Columbia County, Pennsylvania","medage",40.1,1
"68","42037","Columbia County, Pennsylvania","totpopwhite",64466,303
"69","42037","Columbia County, Pennsylvania","bachdegree",5038,783
"70","42037","Columbia County, Pennsylvania","medincome",21208,1001
"71","42039","Crawford County, Pennsylvania","totpop",88740,NA
"72","42039","Crawford County, Pennsylvania","medage",41.9,0.6
"73","42039","Crawford County, Pennsylvania","totpopwhite",85004,356
"74","42039","Crawford County, Pennsylvania","bachdegree",7579,1028
