FIPS,State,County,Health Outcomes Z-Score,Health Outcomes Rank,Health Factors Z-Score,Health Factors Rank,year
42001,Pennsylvania,Adams,-0.66,12,-0.54,9,2019
42003,Pennsylvania,Allegheny,0.12,34,-0.03,25,2019
42005,Pennsylvania,Armstrong,0.62,59,0.27,49,2019
42007,Pennsylvania,Beaver,0.37,48,0.16,45,2019
42009,Pennsylvania,Bedford,-0.58,14,-0.09,23,2019
42011,Pennsylvania,Berks,0.02,32,-0.02,29,2019
42013,Pennsylvania,Blair,0.41,51,0.07,37,2019
42015,Pennsylvania,Bradford,-0.16,24,0.14,43,2019
42017,Pennsylvania,Bucks,-1.01,6,-1.01,2,2019
42019,Pennsylvania,Butler,-1.01,7,-0.67,7,2019
42021,Pennsylvania,Cambria,1.5,65,0.35,56,2019
42023,Pennsylvania,Cameron,-0.38,19,0.1,41,2019
42025,Pennsylvania,Carbon,0.45,52,0.3,51,2019
42027,Pennsylvania,Centre,-1.88,2,-0.77,5,2019
42029,Pennsylvania,Chester,-1.83,3,-0.95,3,2019
42031,Pennsylvania,Clarion,0.18,37,0.17,46,2019
42033,Pennsylvania,Clearfield,0.16,35,0.27,48,2019
42035,Pennsylvania,Clinton,-0.67,11,0.07,38,2019
42037,Pennsylvania,Columbia,0.33,45,0.02,30,2019
42039,Pennsylvania,Crawford,0.25,41,0.09,40,2019
42041,Pennsylvania,Cumberland,-1.03,5,-0.91,4,2019
42043,Pennsylvania,Dauphin,0.4,49,0.1,42,2019
42045,Pennsylvania,Delaware,0.35,47,-0.42,11,2019
42047,Pennsylvania,Elk,-0.19,23,-0.39,12,2019
42049,Pennsylvania,Erie,0.5,55,0.32,53,2019
42051,Pennsylvania,Fayette,1.7,66,1.09,66,2019
42053,Pennsylvania,Forest,-0.36,21,0.61,65,2019
42055,Pennsylvania,Franklin,-0.61,13,-0.19,19,2019
42057,Pennsylvania,Fulton,0.74,61,0.03,32,2019
42059,Pennsylvania,Greene,0.89,62,0.55,63,2019
42061,Pennsylvania,Huntingdon,0.21,39,0.33,55,2019
42063,Pennsylvania,Indiana,0.46,53,0.52,62,2019
42065,Pennsylvania,Jefferson,-0.01,30,0.09,39,2019
42067,Pennsylvania,Juniata,-0.14,26,-0.18,20,2019
42069,Pennsylvania,Lackawanna,0.41,50,0.04,33,2019
42071,Pennsylvania,Lancaster,-0.94,8,-0.48,10,2019
42073,Pennsylvania,Lawrence,1.18,64,0.47,61,2019
42075,Pennsylvania,Lebanon,-0.37,20,-0.37,14,2019
42077,Pennsylvania,Lehigh,-0.42,18,-0.07,24,2019
42079,Pennsylvania,Luzerne,0.92,63,0.42,60,2019
42081,Pennsylvania,Lycoming,0.17,36,0.05,35,2019
42083,Pennsylvania,McKean,0.47,54,0.38,58,2019
42085,Pennsylvania,Mercer,0.34,46,0.06,36,2019
42087,Pennsylvania,Mifflin,0.61,58,0.14,44,2019
42089,Pennsylvania,Monroe,0.61,57,0.26,47,2019
42091,Pennsylvania,Montgomery,-1.56,4,-1.13,1,2019
42093,Pennsylvania,Montour,-0.44,17,-0.75,6,2019
42095,Pennsylvania,Northampton,-0.78,9,-0.2,17,2019
42097,Pennsylvania,Northumberland,0.3,42,0.38,57,2019
42099,Pennsylvania,Perry,-0.05,28,-0.19,18,2019
42101,Pennsylvania,Philadelphia,2.38,67,1.44,67,2019
42103,Pennsylvania,Pike,-0.53,16,-0.11,22,2019
42105,Pennsylvania,Potter,0.32,43,0.59,64,2019
42107,Pennsylvania,Schuylkill,0.67,60,0.29,50,2019
42109,Pennsylvania,Snyder,-0.74,10,-0.23,16,2019
42111,Pennsylvania,Somerset,0.01,31,0.32,54,2019
42113,Pennsylvania,Sullivan,0.2,38,-0.02,27,2019
42115,Pennsylvania,Susquehanna,0.22,40,0.41,59,2019
42117,Pennsylvania,Tioga,-0.56,15,0.04,34,2019
42119,Pennsylvania,Union,-1.94,1,-0.62,8,2019
42121,Pennsylvania,Venango,0.54,56,0.31,52,2019
42123,Pennsylvania,Warren,-0.04,29,-0.02,28,2019
42125,Pennsylvania,Washington,0.03,33,-0.15,21,2019
42127,Pennsylvania,Wayne,-0.06,27,-0.03,26,2019
42129,Pennsylvania,Westmoreland,-0.14,25,-0.38,13,2019
42131,Pennsylvania,Wyoming,0.32,44,0.02,31,2019
42133,Pennsylvania,York,-0.29,22,-0.27,15,2019
