"","GEOID","NAME","variable","estimate","moe"
"1","42001","Adams County, Pennsylvania","totpop",100779,0
"2","42001","Adams County, Pennsylvania","medage",38.5,0.4
"3","42001","Adams County, Pennsylvania","totpopwhite",94455,910
"4","42001","Adams County, Pennsylvania","bachdegree",9025,1358
"5","42001","Adams County, Pennsylvania","medincome",26019,1059
"6","42003","Allegheny County, Pennsylvania","totpop",1219210,0
"7","42003","Allegheny County, Pennsylvania","medage",41.8,0.2
"8","42003","Allegheny County, Pennsylvania","totpopwhite",1007644,1701
"9","42003","Allegheny County, Pennsylvania","bachdegree",165852,5881
"10","42003","Allegheny County, Pennsylvania","medincome",25327,448
"11","42005","Armstrong County, Pennsylvania","totpop",69059,0
"12","42005","Armstrong County, Pennsylvania","medage",43.4,0.4
"13","42005","Armstrong County, Pennsylvania","totpopwhite",NA,NA
"14","42005","Armstrong County, Pennsylvania","bachdegree",5456,1020
"15","42005","Armstrong County, Pennsylvania","medincome",20608,1216
"16","42007","Beaver County, Pennsylvania","totpop",173074,0
"17","42007","Beaver County, Pennsylvania","medage",43.8,0.3
"18","42007","Beaver County, Pennsylvania","totpopwhite",159176,338
"19","42007","Beaver County, Pennsylvania","bachdegree",16573,1882
"20","42007","Beaver County, Pennsylvania","medincome",22965,1003
"21","42011","Berks County, Pennsylvania","totpop",401955,0
"22","42011","Berks County, Pennsylvania","medage",38.2,0.3
"23","42011","Berks County, Pennsylvania","totpopwhite",340568,3202
"24","42011","Berks County, Pennsylvania","bachdegree",38508,2898
"25","42011","Berks County, Pennsylvania","medincome",26385,578
"26","42013","Blair County, Pennsylvania","totpop",125527,0
"27","42013","Blair County, Pennsylvania","medage",41.5,0.6
"28","42013","Blair County, Pennsylvania","totpopwhite",121467,262
"29","42013","Blair County, Pennsylvania","bachdegree",10107,1555
"30","42013","Blair County, Pennsylvania","medincome",22239,1108
"31","42017","Bucks County, Pennsylvania","totpop",621144,0
"32","42017","Bucks County, Pennsylvania","medage",40.5,0.4
"33","42017","Bucks County, Pennsylvania","totpopwhite",565748,2030
"34","42017","Bucks County, Pennsylvania","bachdegree",86139,4166
"35","42017","Bucks County, Pennsylvania","medincome",32055,619
"36","42019","Butler County, Pennsylvania","totpop",181934,0
"37","42019","Butler County, Pennsylvania","medage",40,0.4
"38","42019","Butler County, Pennsylvania","totpopwhite",176629,317
"39","42019","Butler County, Pennsylvania","bachdegree",23589,1753
"40","42019","Butler County, Pennsylvania","medincome",25659,954
"41","42021","Cambria County, Pennsylvania","totpop",144995,0
"42","42021","Cambria County, Pennsylvania","medage",42.6,0.5
"43","42021","Cambria County, Pennsylvania","totpopwhite",137490,300
"44","42021","Cambria County, Pennsylvania","bachdegree",11031,1285
"45","42021","Cambria County, Pennsylvania","medincome",19512,646
"46","42027","Centre County, Pennsylvania","totpop",144658,0
"47","42027","Centre County, Pennsylvania","medage",28.9,0.5
"48","42027","Centre County, Pennsylvania","totpopwhite",129771,470
"49","42027","Centre County, Pennsylvania","bachdegree",16558,1719
"50","42027","Centre County, Pennsylvania","medincome",17363,857
"51","42029","Chester County, Pennsylvania","totpop",486345,0
"52","42029","Chester County, Pennsylvania","medage",38.3,0.3
"53","42029","Chester County, Pennsylvania","totpopwhite",423545,2178
"54","42029","Chester County, Pennsylvania","bachdegree",93216,3465
"55","42029","Chester County, Pennsylvania","medincome",38617,1508
"56","42033","Clearfield County, Pennsylvania","totpop",81452,0
"57","42033","Clearfield County, Pennsylvania","medage",42.3,0.6
"58","42033","Clearfield County, Pennsylvania","totpopwhite",NA,NA
"59","42033","Clearfield County, Pennsylvania","bachdegree",5346,944
"60","42033","Clearfield County, Pennsylvania","medincome",NA,NA
"61","42037","Columbia County, Pennsylvania","totpop",64726,0
"62","42037","Columbia County, Pennsylvania","medage",38.2,0.9
"63","42037","Columbia County, Pennsylvania","totpopwhite",62775,194
"64","42037","Columbia County, Pennsylvania","bachdegree",4490,753
"65","42037","Columbia County, Pennsylvania","medincome",19550,1144
"66","42039","Crawford County, Pennsylvania","totpop",88663,0
"67","42039","Crawford County, Pennsylvania","medage",40.2,0.5
"68","42039","Crawford County, Pennsylvania","totpopwhite",85621,100
"69","42039","Crawford County, Pennsylvania","bachdegree",6711,1001
"70","42039","Crawford County, Pennsylvania","medincome",20049,1046
"71","42041","Cumberland County, Pennsylvania","totpop",228019,0
"72","42041","Cumberland County, Pennsylvania","medage",39.6,0.6
"73","42041","Cumberland County, Pennsylvania","totpopwhite",210808,857
"74","42041","Cumberland County, Pennsylvania","bachdegree",31594,2446
"75","42041","Cumberland County, Pennsylvania","medincome",29019,1080
"76","42043","Dauphin County, Pennsylvania","totpop",255710,0
"77","42043","Dauphin County, Pennsylvania","medage",39.1,0.5
"78","42043","Dauphin County, Pennsylvania","totpopwhite",193468,1609
"79","42043","Dauphin County, Pennsylvania","bachdegree",29449,2234
"80","42043","Dauphin County, Pennsylvania","medincome",28236,1091
"81","42045","Delaware County, Pennsylvania","totpop",554399,0
"82","42045","Delaware County, Pennsylvania","medage",38.9,0.3
"83","42045","Delaware County, Pennsylvania","totpopwhite",418850,1308
"84","42045","Delaware County, Pennsylvania","bachdegree",70268,4247
"85","42045","Delaware County, Pennsylvania","medincome",29702,836
"86","42049","Erie County, Pennsylvania","totpop",279092,0
"87","42049","Erie County, Pennsylvania","medage",38.1,0.5
"88","42049","Erie County, Pennsylvania","totpopwhite",252275,1011
"89","42049","Erie County, Pennsylvania","bachdegree",26497,2093
"90","42049","Erie County, Pennsylvania","medincome",21763,618
"91","42051","Fayette County, Pennsylvania","totpop",144556,0
"92","42051","Fayette County, Pennsylvania","medage",42.4,0.4
"93","42051","Fayette County, Pennsylvania","totpopwhite",136225,496
"94","42051","Fayette County, Pennsylvania","bachdegree",9101,1399
"95","42051","Fayette County, Pennsylvania","medincome",17955,1277
"96","42055","Franklin County, Pennsylvania","totpop",141665,0
"97","42055","Franklin County, Pennsylvania","medage",39.2,0.6
"98","42055","Franklin County, Pennsylvania","totpopwhite",133741,753
"99","42055","Franklin County, Pennsylvania","bachdegree",8956,1506
"100","42055","Franklin County, Pennsylvania","medincome",24431,1294
"101","42063","Indiana County, Pennsylvania","totpop",87690,0
"102","42063","Indiana County, Pennsylvania","medage",38.9,0.9
"103","42063","Indiana County, Pennsylvania","totpopwhite",84164,173
"104","42063","Indiana County, Pennsylvania","bachdegree",7329,1062
"105","42063","Indiana County, Pennsylvania","medincome",18503,1149
"106","42069","Lackawanna County, Pennsylvania","totpop",209330,0
"107","42069","Lackawanna County, Pennsylvania","medage",41.1,0.6
"108","42069","Lackawanna County, Pennsylvania","totpopwhite",198160,997
"109","42069","Lackawanna County, Pennsylvania","bachdegree",20336,1835
"110","42069","Lackawanna County, Pennsylvania","medincome",22097,710
"111","42071","Lancaster County, Pennsylvania","totpop",498465,0
"112","42071","Lancaster County, Pennsylvania","medage",37.4,0.3
"113","42071","Lancaster County, Pennsylvania","totpopwhite",453647,3281
"114","42071","Lancaster County, Pennsylvania","bachdegree",52301,3194
"115","42071","Lancaster County, Pennsylvania","medincome",27339,674
"116","42073","Lawrence County, Pennsylvania","totpop",90991,0
"117","42073","Lawrence County, Pennsylvania","medage",41.7,0.5
"118","42073","Lawrence County, Pennsylvania","totpopwhite",NA,NA
"119","42073","Lawrence County, Pennsylvania","bachdegree",8516,1123
"120","42073","Lawrence County, Pennsylvania","medincome",20244,1472
"121","42075","Lebanon County, Pennsylvania","totpop",127889,0
"122","42075","Lebanon County, Pennsylvania","medage",39.6,0.8
"123","42075","Lebanon County, Pennsylvania","totpopwhite",116911,842
"124","42075","Lebanon County, Pennsylvania","bachdegree",11079,1435
"125","42075","Lebanon County, Pennsylvania","medincome",26048,1026
"126","42077","Lehigh County, Pennsylvania","totpop",337343,0
"127","42077","Lehigh County, Pennsylvania","medage",39.2,0.4
"128","42077","Lehigh County, Pennsylvania","totpopwhite",275458,3445
"129","42077","Lehigh County, Pennsylvania","bachdegree",36481,3068
"130","42077","Lehigh County, Pennsylvania","medincome",26137,854
"131","42079","Luzerne County, Pennsylvania","totpop",312265,0
"132","42079","Luzerne County, Pennsylvania","medage",41.9,0.3
"133","42079","Luzerne County, Pennsylvania","totpopwhite",295071,1327
"134","42079","Luzerne County, Pennsylvania","bachdegree",28721,2508
"135","42079","Luzerne County, Pennsylvania","medincome",22133,630
"136","42081","Lycoming County, Pennsylvania","totpop",116811,0
"137","42081","Lycoming County, Pennsylvania","medage",40.9,0.7
"138","42081","Lycoming County, Pennsylvania","totpopwhite",108563,387
"139","42081","Lycoming County, Pennsylvania","bachdegree",10067,1151
"140","42081","Lycoming County, Pennsylvania","medincome",20740,895
"141","42085","Mercer County, Pennsylvania","totpop",116809,0
"142","42085","Mercer County, Pennsylvania","medage",41.8,0.5
"143","42085","Mercer County, Pennsylvania","totpopwhite",107897,254
"144","42085","Mercer County, Pennsylvania","bachdegree",9175,1042
"145","42085","Mercer County, Pennsylvania","medincome",21085,823
"146","42089","Monroe County, Pennsylvania","totpop",164722,0
"147","42089","Monroe County, Pennsylvania","medage",38.7,0.7
"148","42089","Monroe County, Pennsylvania","totpopwhite",133373,2098
"149","42089","Monroe County, Pennsylvania","bachdegree",15153,1983
"150","42089","Monroe County, Pennsylvania","medincome",26975,998
"151","42091","Montgomery County, Pennsylvania","totpop",776172,0
"152","42091","Montgomery County, Pennsylvania","medage",40.7,0.3
"153","42091","Montgomery County, Pennsylvania","totpopwhite",651620,2243
"154","42091","Montgomery County, Pennsylvania","bachdegree",129936,4667
"155","42091","Montgomery County, Pennsylvania","medincome",35558,709
"156","42095","Northampton County, Pennsylvania","totpop",293522,0
"157","42095","Northampton County, Pennsylvania","medage",39.1,0.4
"158","42095","Northampton County, Pennsylvania","totpopwhite",256674,2338
"159","42095","Northampton County, Pennsylvania","bachdegree",30868,2527
"160","42095","Northampton County, Pennsylvania","medincome",26957,890
"161","42097","Northumberland County, Pennsylvania","totpop",91003,0
"162","42097","Northumberland County, Pennsylvania","medage",42.6,0.4
"163","42097","Northumberland County, Pennsylvania","totpopwhite",86977,191
"164","42097","Northumberland County, Pennsylvania","bachdegree",6798,1131
"165","42097","Northumberland County, Pennsylvania","medincome",19940,1348
"166","42101","Philadelphia County, Pennsylvania","totpop",1449634,0
