"","GEOID","NAME","variable","estimate","moe"
"1","42001","Adams County, Pennsylvania","totpop",95850,0
"2","42001","Adams County, Pennsylvania","medage",38.6,0.8
"3","42001","Adams County, Pennsylvania","totpopwhite",89435,785
"4","42001","Adams County, Pennsylvania","bachdegree",7172,1054
"5","42001","Adams County, Pennsylvania","medincome",25821,1030
"6","42003","Allegheny County, Pennsylvania","totpop",1195503,0
"7","42003","Allegheny County, Pennsylvania","medage",41.4,0.3
"8","42003","Allegheny County, Pennsylvania","totpopwhite",995431,1484
"9","42003","Allegheny County, Pennsylvania","bachdegree",167355,5778
"10","42003","Allegheny County, Pennsylvania","medincome",24309,452
"11","42005","Armstrong County, Pennsylvania","totpop",69501,0
"12","42005","Armstrong County, Pennsylvania","medage",42,0.6
"13","42005","Armstrong County, Pennsylvania","totpopwhite",NA,NA
"14","42005","Armstrong County, Pennsylvania","bachdegree",4598,732
"15","42005","Armstrong County, Pennsylvania","medincome",19167,1020
"16","42007","Beaver County, Pennsylvania","totpop",173086,0
"17","42007","Beaver County, Pennsylvania","medage",42.8,0.5
"18","42007","Beaver County, Pennsylvania","totpopwhite",159484,529
"19","42007","Beaver County, Pennsylvania","bachdegree",15326,1769
"20","42007","Beaver County, Pennsylvania","medincome",22034,970
"21","42011","Berks County, Pennsylvania","totpop",382917,0
"22","42011","Berks County, Pennsylvania","medage",38.4,0.3
"23","42011","Berks County, Pennsylvania","totpopwhite",344187,3109
"24","42011","Berks County, Pennsylvania","bachdegree",38063,3114
"25","42011","Berks County, Pennsylvania","medincome",25416,798
"26","42013","Blair County, Pennsylvania","totpop",122717,0
"27","42013","Blair County, Pennsylvania","medage",40.7,0.6
"28","42013","Blair County, Pennsylvania","totpopwhite",119317,396
"29","42013","Blair County, Pennsylvania","bachdegree",9532,1233
"30","42013","Blair County, Pennsylvania","medincome",19844,870
"31","42017","Bucks County, Pennsylvania","totpop",612210,0
"32","42017","Bucks County, Pennsylvania","medage",40,0.3
"33","42017","Bucks County, Pennsylvania","totpopwhite",557958,2040
"34","42017","Bucks County, Pennsylvania","bachdegree",90751,4760
