"","GEOID","NAME","variable","estimate","moe"
"1","42001","Adams County, Pennsylvania","totpop",102336,NA
"2","42001","Adams County, Pennsylvania","medage",43.7,0.5
"3","42001","Adams County, Pennsylvania","totpopwhite",94224,1192
"4","42001","Adams County, Pennsylvania","bachdegree",9951,1277
"5","42001","Adams County, Pennsylvania","medincome",31103,1208
"6","42003","Allegheny County, Pennsylvania","totpop",1223048,NA
"7","42003","Allegheny County, Pennsylvania","medage",41,0.3
"8","42003","Allegheny County, Pennsylvania","totpopwhite",974521,2124
"9","42003","Allegheny County, Pennsylvania","bachdegree",210333,6210
"10","42003","Allegheny County, Pennsylvania","medincome",32438,716
"11","42005","Armstrong County, Pennsylvania","totpop",65642,NA
"12","42005","Armstrong County, Pennsylvania","medage",46.4,0.5
"13","42005","Armstrong County, Pennsylvania","totpopwhite",NA,NA
"14","42005","Armstrong County, Pennsylvania","bachdegree",5096,808
"15","42005","Armstrong County, Pennsylvania","medincome",26336,1266
"16","42007","Beaver County, Pennsylvania","totpop",166140,NA
"17","42007","Beaver County, Pennsylvania","medage",45.2,0.3
"18","42007","Beaver County, Pennsylvania","totpopwhite",149367,620
"19","42007","Beaver County, Pennsylvania","bachdegree",19078,1683
"20","42007","Beaver County, Pennsylvania","medincome",30929,1045
"21","42011","Berks County, Pennsylvania","totpop",417854,NA
"22","42011","Berks County, Pennsylvania","medage",39.8,0.5
"23","42011","Berks County, Pennsylvania","totpopwhite",339051,5336
"24","42011","Berks County, Pennsylvania","bachdegree",44019,2813
"25","42011","Berks County, Pennsylvania","medincome",29885,889
"26","42013","Blair County, Pennsylvania","totpop",123457,NA
"27","42013","Blair County, Pennsylvania","medage",43.3,0.4
"28","42013","Blair County, Pennsylvania","totpopwhite",117516,581
"29","42013","Blair County, Pennsylvania","bachdegree",13188,1631
"30","42013","Blair County, Pennsylvania","medincome",25319,1578
"31","42017","Bucks County, Pennsylvania","totpop",628341,NA
"32","42017","Bucks County, Pennsylvania","medage",44,0.3
"33","42017","Bucks County, Pennsylvania","totpopwhite",552398,2135
"34","42017","Bucks County, Pennsylvania","bachdegree",108643,4860
"35","42017","Bucks County, Pennsylvania","medincome",40535,855
"36","42019","Butler County, Pennsylvania","totpop",187108,NA
"37","42019","Butler County, Pennsylvania","medage",43.3,0.4
"38","42019","Butler County, Pennsylvania","totpopwhite",179865,234
"39","42019","Butler County, Pennsylvania","bachdegree",31664,2222
"40","42019","Butler County, Pennsylvania","medincome",34421,1961
"41","42021","Cambria County, Pennsylvania","totpop",133054,NA
"42","42021","Cambria County, Pennsylvania","medage",45.5,0.4
"43","42021","Cambria County, Pennsylvania","totpopwhite",124342,348
"44","42021","Cambria County, Pennsylvania","bachdegree",13073,1541
"45","42021","Cambria County, Pennsylvania","medincome",25630,918
"46","42025","Carbon County, Pennsylvania","totpop",63853,NA
"47","42025","Carbon County, Pennsylvania","medage",45.9,0.7
"48","42025","Carbon County, Pennsylvania","totpopwhite",NA,NA
"49","42025","Carbon County, Pennsylvania","bachdegree",4693,1117
"50","42025","Carbon County, Pennsylvania","medincome",26284,1713
"51","42027","Centre County, Pennsylvania","totpop",162660,NA
"52","42027","Centre County, Pennsylvania","medage",32.1,0.5
"53","42027","Centre County, Pennsylvania","totpopwhite",141962,698
"54","42027","Centre County, Pennsylvania","bachdegree",23959,2225
"55","42027","Centre County, Pennsylvania","medincome",25710,1182
"56","42029","Chester County, Pennsylvania","totpop",519293,NA
"57","42029","Chester County, Pennsylvania","medage",40,0.4
"58","42029","Chester County, Pennsylvania","totpopwhite",443075,2536
"59","42029","Chester County, Pennsylvania","bachdegree",109477,4361
"60","42029","Chester County, Pennsylvania","medincome",41732,811
"61","42033","Clearfield County, Pennsylvania","totpop",79685,NA
"62","42033","Clearfield County, Pennsylvania","medage",45,0.5
"63","42033","Clearfield County, Pennsylvania","totpopwhite",75051,349
"64","42033","Clearfield County, Pennsylvania","bachdegree",7075,1078
"65","42033","Clearfield County, Pennsylvania","medincome",23699,2024
"66","42037","Columbia County, Pennsylvania","totpop",65932,NA
"67","42037","Columbia County, Pennsylvania","medage",40.4,1
"68","42037","Columbia County, Pennsylvania","totpopwhite",NA,NA
"69","42037","Columbia County, Pennsylvania","bachdegree",5704,1028
"70","42037","Columbia County, Pennsylvania","medincome",28412,2179
"71","42039","Crawford County, Pennsylvania","totpop",86159,NA
"72","42039","Crawford County, Pennsylvania","medage",43.7,1.1
"73","42039","Crawford County, Pennsylvania","totpopwhite",82305,253
"74","42039","Crawford County, Pennsylvania","bachdegree",8853,1279
"75","42039","Crawford County, Pennsylvania","medincome",26118,1351
"76","42041","Cumberland County, Pennsylvania","totpop",250066,NA
"77","42041","Cumberland County, Pennsylvania","medage",40.2,0.6
"78","42041","Cumberland County, Pennsylvania","totpopwhite",219512,1234
"79","42041","Cumberland County, Pennsylvania","bachdegree",37260,2693
"80","42041","Cumberland County, Pennsylvania","medincome",35861,765
"81","42043","Dauphin County, Pennsylvania","totpop",275710,NA
"82","42043","Dauphin County, Pennsylvania","medage",39.7,0.5
"83","42043","Dauphin County, Pennsylvania","totpopwhite",194341,2693
"84","42043","Dauphin County, Pennsylvania","bachdegree",33258,2705
"85","42043","Dauphin County, Pennsylvania","medincome",32171,1044
"86","42045","Delaware County, Pennsylvania","totpop",564696,NA
"87","42045","Delaware County, Pennsylvania","medage",38.9,0.3
"88","42045","Delaware County, Pennsylvania","totpopwhite",385543,2056
"89","42045","Delaware County, Pennsylvania","bachdegree",86594,3936
"90","42045","Delaware County, Pennsylvania","medincome",36343,995
"91","42049","Erie County, Pennsylvania","totpop",274541,NA
"92","42049","Erie County, Pennsylvania","medage",39.4,0.8
"93","42049","Erie County, Pennsylvania","totpopwhite",236901,2007
"94","42049","Erie County, Pennsylvania","bachdegree",32628,2545
"95","42049","Erie County, Pennsylvania","medincome",25724,984
"96","42051","Fayette County, Pennsylvania","totpop",131504,NA
"97","42051","Fayette County, Pennsylvania","medage",45.6,0.5
"98","42051","Fayette County, Pennsylvania","totpopwhite",121719,351
"99","42051","Fayette County, Pennsylvania","bachdegree",12661,1695
"100","42051","Fayette County, Pennsylvania","medincome",23765,1940
"101","42055","Franklin County, Pennsylvania","totpop",154234,NA
"102","42055","Franklin County, Pennsylvania","medage",41.9,0.8
"103","42055","Franklin County, Pennsylvania","totpopwhite",143122,974
"104","42055","Franklin County, Pennsylvania","bachdegree",14342,1636
"105","42055","Franklin County, Pennsylvania","medincome",31842,956
"106","42063","Indiana County, Pennsylvania","totpop",84953,NA
"107","42063","Indiana County, Pennsylvania","medage",40.9,1
"108","42063","Indiana County, Pennsylvania","totpopwhite",80324,373
"109","42063","Indiana County, Pennsylvania","bachdegree",7998,1204
"110","42063","Indiana County, Pennsylvania","medincome",22109,1506
"111","42069","Lackawanna County, Pennsylvania","totpop",210761,NA
"112","42069","Lackawanna County, Pennsylvania","medage",42.6,0.7
"113","42069","Lackawanna County, Pennsylvania","totpopwhite",193469,995
"114","42069","Lackawanna County, Pennsylvania","bachdegree",27390,1921
"115","42069","Lackawanna County, Pennsylvania","medincome",26490,890
"116","42071","Lancaster County, Pennsylvania","totpop",542903,NA
"117","42071","Lancaster County, Pennsylvania","medage",38.8,0.3
