"","GEOID","NAME","variable","estimate","moe"
"1","42001","Adams County, Pennsylvania","totpop",101485,NA
"2","42001","Adams County, Pennsylvania","medage",41.7,0.8
"3","42001","Adams County, Pennsylvania","totpopwhite",95237,1237
"4","42001","Adams County, Pennsylvania","bachdegree",7567,1283
"5","42001","Adams County, Pennsylvania","medincome",26811,957
"6","42003","Allegheny County, Pennsylvania","totpop",1223583,NA
"7","42003","Allegheny County, Pennsylvania","medage",41.4,0.2
"8","42003","Allegheny County, Pennsylvania","totpopwhite",998633,1253
"9","42003","Allegheny County, Pennsylvania","bachdegree",181768,5875
"10","42003","Allegheny County, Pennsylvania","medincome",26123,474
"11","42005","Armstrong County, Pennsylvania","totpop",68839,NA
"12","42005","Armstrong County, Pennsylvania","medage",44.6,0.2
"13","42005","Armstrong County, Pennsylvania","totpopwhite",67303,84
"14","42005","Armstrong County, Pennsylvania","bachdegree",5054,741
"15","42005","Armstrong County, Pennsylvania","medincome",22164,1655
"16","42007","Beaver County, Pennsylvania","totpop",170567,NA
"17","42007","Beaver County, Pennsylvania","medage",44.3,0.5
"18","42007","Beaver County, Pennsylvania","totpopwhite",155157,594
"19","42007","Beaver County, Pennsylvania","bachdegree",16117,1489
"20","42007","Beaver County, Pennsylvania","medincome",24270,1269
"21","42011","Berks County, Pennsylvania","totpop",411850,NA
"22","42011","Berks County, Pennsylvania","medage",39.5,0.3
"23","42011","Berks County, Pennsylvania","totpopwhite",347052,4049
"24","42011","Berks County, Pennsylvania","bachdegree",41057,3037
"25","42011","Berks County, Pennsylvania","medincome",26006,700
"26","42013","Blair County, Pennsylvania","totpop",127031,NA
"27","42013","Blair County, Pennsylvania","medage",41.8,0.5
"28","42013","Blair County, Pennsylvania","totpopwhite",122234,307
"29","42013","Blair County, Pennsylvania","bachdegree",9575,1454
"30","42013","Blair County, Pennsylvania","medincome",22570,1137
"31","42017","Bucks County, Pennsylvania","totpop",625472,NA
"32","42017","Bucks County, Pennsylvania","medage",42,0.3
"33","42017","Bucks County, Pennsylvania","totpopwhite",563100,2172
"34","42017","Bucks County, Pennsylvania","bachdegree",94314,4609
"35","42017","Bucks County, Pennsylvania","medincome",32370,810
"36","42019","Butler County, Pennsylvania","totpop",184059,NA
"37","42019","Butler County, Pennsylvania","medage",41.3,0.7
"38","42019","Butler County, Pennsylvania","totpopwhite",177832,524
"39","42019","Butler County, Pennsylvania","bachdegree",23670,2139
"40","42019","Butler County, Pennsylvania","medincome",27415,1497
"41","42021","Cambria County, Pennsylvania","totpop",143498,NA
"42","42021","Cambria County, Pennsylvania","medage",43.7,0.5
"43","42021","Cambria County, Pennsylvania","totpopwhite",135124,466
"44","42021","Cambria County, Pennsylvania","bachdegree",13067,1316
"45","42021","Cambria County, Pennsylvania","medincome",22016,665
"46","42025","Carbon County, Pennsylvania","totpop",65220,NA
"47","42025","Carbon County, Pennsylvania","medage",43.3,0.7
"48","42025","Carbon County, Pennsylvania","totpopwhite",NA,NA
"49","42025","Carbon County, Pennsylvania","bachdegree",5027,1251
"50","42025","Carbon County, Pennsylvania","medincome",22101,1698
"51","42027","Centre County, Pennsylvania","totpop",154127,NA
"52","42027","Centre County, Pennsylvania","medage",29.3,0.5
"53","42027","Centre County, Pennsylvania","totpopwhite",137638,1162
"54","42027","Centre County, Pennsylvania","bachdegree",17943,1942
"55","42027","Centre County, Pennsylvania","medincome",19925,1155
"56","42029","Chester County, Pennsylvania","totpop",499797,NA
"57","42029","Chester County, Pennsylvania","medage",39.3,0.3
"58","42029","Chester County, Pennsylvania","totpopwhite",436212,2286
"59","42029","Chester County, Pennsylvania","bachdegree",101537,4045
"60","42029","Chester County, Pennsylvania","medincome",38255,1500
"61","42033","Clearfield County, Pennsylvania","totpop",81562,NA
"62","42033","Clearfield County, Pennsylvania","medage",41.5,1.1
"63","42033","Clearfield County, Pennsylvania","totpopwhite",77700,903
"64","42033","Clearfield County, Pennsylvania","bachdegree",5599,1098
"65","42033","Clearfield County, Pennsylvania","medincome",20239,1085
"66","42037","Columbia County, Pennsylvania","totpop",67268,NA
"67","42037","Columbia County, Pennsylvania","medage",40.3,1
"68","42037","Columbia County, Pennsylvania","totpopwhite",64586,209
"69","42037","Columbia County, Pennsylvania","bachdegree",5499,886
"70","42037","Columbia County, Pennsylvania","medincome",24056,1784
"71","42039","Crawford County, Pennsylvania","totpop",88657,NA
"72","42039","Crawford County, Pennsylvania","medage",41.8,0.7
"73","42039","Crawford County, Pennsylvania","totpopwhite",85309,207
"74","42039","Crawford County, Pennsylvania","bachdegree",7328,1043
"75","42039","Crawford County, Pennsylvania","medincome",20346,917
"76","42041","Cumberland County, Pennsylvania","totpop",235861,NA
"77","42041","Cumberland County, Pennsylvania","medage",40.2,0.7
"78","42041","Cumberland County, Pennsylvania","totpopwhite",212930,1515
"79","42041","Cumberland County, Pennsylvania","bachdegree",32662,2701
"80","42041","Cumberland County, Pennsylvania","medincome",30254,1455
"81","42043","Dauphin County, Pennsylvania","totpop",268220,NA
"82","42043","Dauphin County, Pennsylvania","medage",39.1,0.5
"83","42043","Dauphin County, Pennsylvania","totpopwhite",199813,2085
"84","42043","Dauphin County, Pennsylvania","bachdegree",29507,2594
"85","42043","Dauphin County, Pennsylvania","medincome",29017,1821
"86","42045","Delaware County, Pennsylvania","totpop",559276,NA
"87","42045","Delaware County, Pennsylvania","medage",38.9,0.4
"88","42045","Delaware County, Pennsylvania","totpopwhite",408816,1446
"89","42045","Delaware County, Pennsylvania","bachdegree",75299,4453
"90","42045","Delaware County, Pennsylvania","medincome",30241,658
"91","42049","Erie County, Pennsylvania","totpop",280686,NA
"92","42049","Erie County, Pennsylvania","medage",38.6,0.5
"93","42049","Erie County, Pennsylvania","totpopwhite",249120,1113
"94","42049","Erie County, Pennsylvania","bachdegree",25878,1884
"95","42049","Erie County, Pennsylvania","medincome",21835,776
