"","GEOID","NAME","variable","estimate","moe"
"1","42001","Adams County, Pennsylvania","totpop",102295,NA
"2","42001","Adams County, Pennsylvania","medage",43.4,0.7
"3","42001","Adams County, Pennsylvania","totpopwhite",94195,1274
"4","42001","Adams County, Pennsylvania","bachdegree",8933,1066
"5","42001","Adams County, Pennsylvania","medincome",28203,2440
"6","42003","Allegheny County, Pennsylvania","totpop",1230459,NA
"7","42003","Allegheny County, Pennsylvania","medage",41,0.3
"8","42003","Allegheny County, Pennsylvania","totpopwhite",990127,1528
"9","42003","Allegheny County, Pennsylvania","bachdegree",202822,6923
"10","42003","Allegheny County, Pennsylvania","medincome",30320,448
"11","42005","Armstrong County, Pennsylvania","totpop",67052,NA
"12","42005","Armstrong County, Pennsylvania","medage",46.1,0.4
"13","42005","Armstrong County, Pennsylvania","totpopwhite",NA,NA
"14","42005","Armstrong County, Pennsylvania","bachdegree",5315,776
"15","42005","Armstrong County, Pennsylvania","medincome",24924,1350
"16","42007","Beaver County, Pennsylvania","totpop",168871,NA
"17","42007","Beaver County, Pennsylvania","medage",44.9,0.4
"18","42007","Beaver County, Pennsylvania","totpopwhite",153439,238
"19","42007","Beaver County, Pennsylvania","bachdegree",17728,1623
"20","42007","Beaver County, Pennsylvania","medincome",26504,964
"21","42011","Berks County, Pennsylvania","totpop",415271,NA
"22","42011","Berks County, Pennsylvania","medage",39.6,0.4
"23","42011","Berks County, Pennsylvania","totpopwhite",347572,4351
"24","42011","Berks County, Pennsylvania","bachdegree",44453,3133
"25","42011","Berks County, Pennsylvania","medincome",27672,1182
"26","42013","Blair County, Pennsylvania","totpop",125593,NA
"27","42013","Blair County, Pennsylvania","medage",43.3,0.6
"28","42013","Blair County, Pennsylvania","totpopwhite",119179,301
"29","42013","Blair County, Pennsylvania","bachdegree",12835,1396
"30","42013","Blair County, Pennsylvania","medincome",24761,1642
"31","42017","Bucks County, Pennsylvania","totpop",627367,NA
"32","42017","Bucks County, Pennsylvania","medage",43.8,0.2
"33","42017","Bucks County, Pennsylvania","totpopwhite",551840,2629
"34","42017","Bucks County, Pennsylvania","bachdegree",103707,3841
"35","42017","Bucks County, Pennsylvania","medincome",37717,1397
"36","42019","Butler County, Pennsylvania","totpop",186818,NA
"37","42019","Butler County, Pennsylvania","medage",43,0.5
"38","42019","Butler County, Pennsylvania","totpopwhite",179365,464
"39","42019","Butler County, Pennsylvania","bachdegree",28718,2258
"40","42019","Butler County, Pennsylvania","medincome",31815,960
"41","42021","Cambria County, Pennsylvania","totpop",136411,NA
"42","42021","Cambria County, Pennsylvania","medage",45.1,0.3
"43","42021","Cambria County, Pennsylvania","totpopwhite",127879,508
"44","42021","Cambria County, Pennsylvania","bachdegree",12584,1443
"45","42021","Cambria County, Pennsylvania","medincome",24415,1165
"46","42025","Carbon County, Pennsylvania","totpop",63960,NA
"47","42025","Carbon County, Pennsylvania","medage",45.6,0.9
"48","42025","Carbon County, Pennsylvania","totpopwhite",61555,280
"49","42025","Carbon County, Pennsylvania","bachdegree",4394,1011
"50","42025","Carbon County, Pennsylvania","medincome",26787,1748
"51","42027","Centre County, Pennsylvania","totpop",160580,NA
"52","42027","Centre County, Pennsylvania","medage",31.2,0.5
"53","42027","Centre County, Pennsylvania","totpopwhite",140405,915
"54","42027","Centre County, Pennsylvania","bachdegree",22613,2295
"55","42027","Centre County, Pennsylvania","medincome",25090,1882
"56","42029","Chester County, Pennsylvania","totpop",515939,NA
"57","42029","Chester County, Pennsylvania","medage",40.3,0.3
"58","42029","Chester County, Pennsylvania","totpopwhite",442708,2578
"59","42029","Chester County, Pennsylvania","bachdegree",107748,4591
"60","42029","Chester County, Pennsylvania","medincome",40903,708
"61","42033","Clearfield County, Pennsylvania","totpop",80994,NA
"62","42033","Clearfield County, Pennsylvania","medage",44.4,0.3
"63","42033","Clearfield County, Pennsylvania","totpopwhite",76816,399
"64","42033","Clearfield County, Pennsylvania","bachdegree",4864,850
"65","42033","Clearfield County, Pennsylvania","medincome",22259,1292
"66","42037","Columbia County, Pennsylvania","totpop",66672,NA
"67","42037","Columbia County, Pennsylvania","medage",40.1,1.2
"68","42037","Columbia County, Pennsylvania","totpopwhite",63739,339
"69","42037","Columbia County, Pennsylvania","bachdegree",5477,730
"70","42037","Columbia County, Pennsylvania","medincome",23099,1937
"71","42039","Crawford County, Pennsylvania","totpop",86484,NA
"72","42039","Crawford County, Pennsylvania","medage",43.3,0.6
"73","42039","Crawford County, Pennsylvania","totpopwhite",82369,193
"74","42039","Crawford County, Pennsylvania","bachdegree",7526,1001
"75","42039","Crawford County, Pennsylvania","medincome",24212,1907
"76","42041","Cumberland County, Pennsylvania","totpop",246338,NA
"77","42041","Cumberland County, Pennsylvania","medage",41,0.5
"78","42041","Cumberland County, Pennsylvania","totpopwhite",218722,1488
"79","42041","Cumberland County, Pennsylvania","bachdegree",36473,2488
"80","42041","Cumberland County, Pennsylvania","medincome",32780,1385
"81","42043","Dauphin County, Pennsylvania","totpop",272983,NA
"82","42043","Dauphin County, Pennsylvania","medage",40.1,0.6
"83","42043","Dauphin County, Pennsylvania","totpopwhite",196987,2288
"84","42043","Dauphin County, Pennsylvania","bachdegree",34246,2755
"85","42043","Dauphin County, Pennsylvania","medincome",30907,737
"86","42045","Delaware County, Pennsylvania","totpop",563894,NA
"87","42045","Delaware County, Pennsylvania","medage",39.4,0.3
"88","42045","Delaware County, Pennsylvania","totpopwhite",392395,1767
"89","42045","Delaware County, Pennsylvania","bachdegree",80140,3355
"90","42045","Delaware County, Pennsylvania","medincome",32426,942
"91","42049","Erie County, Pennsylvania","totpop",278045,NA
"92","42049","Erie County, Pennsylvania","medage",39.4,0.7
"93","42049","Erie County, Pennsylvania","totpopwhite",242365,1236
"94","42049","Erie County, Pennsylvania","bachdegree",33029,2735
"95","42049","Erie County, Pennsylvania","medincome",26004,1002
"96","42051","Fayette County, Pennsylvania","totpop",133628,NA
"97","42051","Fayette County, Pennsylvania","medage",45,0.4
"98","42051","Fayette County, Pennsylvania","totpopwhite",NA,NA
"99","42051","Fayette County, Pennsylvania","bachdegree",10203,1266
"100","42051","Fayette County, Pennsylvania","medincome",22109,1079
"101","42055","Franklin County, Pennsylvania","totpop",153638,NA
"102","42055","Franklin County, Pennsylvania","medage",41.3,0.8
"103","42055","Franklin County, Pennsylvania","totpopwhite",142091,1238
"104","42055","Franklin County, Pennsylvania","bachdegree",13226,1848
"105","42055","Franklin County, Pennsylvania","medincome",30101,1497
"106","42063","Indiana County, Pennsylvania","totpop",86966,NA
"107","42063","Indiana County, Pennsylvania","medage",39.8,1.4
"108","42063","Indiana County, Pennsylvania","totpopwhite",82048,256
"109","42063","Indiana County, Pennsylvania","bachdegree",6149,863
"110","42063","Indiana County, Pennsylvania","medincome",22036,1175
"111","42069","Lackawanna County, Pennsylvania","totpop",211917,NA
"112","42069","Lackawanna County, Pennsylvania","medage",43.1,0.6
"113","42069","Lackawanna County, Pennsylvania","totpopwhite",195536,1401
"114","42069","Lackawanna County, Pennsylvania","bachdegree",25431,2294
"115","42069","Lackawanna County, Pennsylvania","medincome",26081,1104
"116","42071","Lancaster County, Pennsylvania","totpop",536624,NA
"117","42071","Lancaster County, Pennsylvania","medage",38.8,0.4
"118","42071","Lancaster County, Pennsylvania","totpopwhite",474069,3278
"119","42071","Lancaster County, Pennsylvania","bachdegree",58019,3543
"120","42071","Lancaster County, Pennsylvania","medincome",29526,1005
"121","42073","Lawrence County, Pennsylvania","totpop",88082,NA
"122","42073","Lawrence County, Pennsylvania","medage",44.6,0.4
"123","42073","Lawrence County, Pennsylvania","totpopwhite",81824,656
"124","42073","Lawrence County, Pennsylvania","bachdegree",8411,1251
"125","42073","Lawrence County, Pennsylvania","medincome",23056,1698
"126","42075","Lebanon County, Pennsylvania","totpop",137067,NA
"127","42075","Lebanon County, Pennsylvania","medage",41.5,0.5
"128","42075","Lebanon County, Pennsylvania","totpopwhite",120264,1929
"129","42075","Lebanon County, Pennsylvania","bachdegree",9763,1509
"130","42075","Lebanon County, Pennsylvania","medincome",28257,1828
"131","42077","Lehigh County, Pennsylvania","totpop",360685,NA
"132","42077","Lehigh County, Pennsylvania","medage",39.6,0.4
"133","42077","Lehigh County, Pennsylvania","totpopwhite",284731,4300
"134","42077","Lehigh County, Pennsylvania","bachdegree",42582,3042
"135","42077","Lehigh County, Pennsylvania","medincome",29207,1363
"136","42079","Luzerne County, Pennsylvania","totpop",318449,NA
"137","42079","Luzerne County, Pennsylvania","medage",42.8,0.4
"138","42079","Luzerne County, Pennsylvania","totpopwhite",281103,2312
"139","42079","Luzerne County, Pennsylvania","bachdegree",29931,2056
"140","42079","Luzerne County, Pennsylvania","medincome",26705,652
"141","42081","Lycoming County, Pennsylvania","totpop",116048,NA
"142","42081","Lycoming County, Pennsylvania","medage",41.5,0.9
"143","42081","Lycoming County, Pennsylvania","totpopwhite",106598,778
"144","42081","Lycoming County, Pennsylvania","bachdegree",12270,1392
"145","42081","Lycoming County, Pennsylvania","medincome",25528,1165
"146","42085","Mercer County, Pennsylvania","totpop",114234,NA
"147","42085","Mercer County, Pennsylvania","medage",44.5,0.3
"148","42085","Mercer County, Pennsylvania","totpopwhite",104725,164
"149","42085","Mercer County, Pennsylvania","bachdegree",11917,1282
"150","42085","Mercer County, Pennsylvania","medincome",23394,1466
"151","42089","Monroe County, Pennsylvania","totpop",166397,NA
"152","42089","Monroe County, Pennsylvania","medage",41.9,0.8
"153","42089","Monroe County, Pennsylvania","totpopwhite",126199,2319
"154","42089","Monroe County, Pennsylvania","bachdegree",19572,2809
"155","42089","Monroe County, Pennsylvania","medincome",25887,1718
"156","42091","Montgomery County, Pennsylvania","totpop",819264,NA
"157","42091","Montgomery County, Pennsylvania","medage",41.2,0.3
"158","42091","Montgomery County, Pennsylvania","totpopwhite",649239,3044
"159","42091","Montgomery County, Pennsylvania","bachdegree",155712,4965
"160","42091","Montgomery County, Pennsylvania","medincome",40224,868
"161","42095","Northampton County, Pennsylvania","totpop",300813,NA
"162","42095","Northampton County, Pennsylvania","medage",42.2,0.4
"163","42095","Northampton County, Pennsylvania","totpopwhite",259696,2749
"164","42095","Northampton County, Pennsylvania","bachdegree",37072,2519
"165","42095","Northampton County, Pennsylvania","medincome",29928,1360
"166","42097","Northumberland County, Pennsylvania","totpop",93246,NA
"167","42097","Northumberland County, Pennsylvania","medage",44.5,0.4
"168","42097","Northumberland County, Pennsylvania","totpopwhite",88658,588
"169","42097","Northumberland County, Pennsylvania","bachdegree",6174,858
"170","42097","Northumberland County, Pennsylvania","medincome",24558,1596
"171","42101","Philadelphia County, Pennsylvania","totpop",1567442,NA
"172","42101","Philadelphia County, Pennsylvania","medage",34.1,0.2
"173","42101","Philadelphia County, Pennsylvania","totpopwhite",657151,8097
"174","42101","Philadelphia County, Pennsylvania","bachdegree",173106,5507
"175","42101","Philadelphia County, Pennsylvania","medincome",23688,668
"176","42107","Schuylkill County, Pennsylvania","totpop",144590,NA
"177","42107","Schuylkill County, Pennsylvania","medage",44.2,0.3
"178","42107","Schuylkill County, Pennsylvania","totpopwhite",135259,1104
"179","42107","Schuylkill County, Pennsylvania","bachdegree",10814,1293
"180","42107","Schuylkill County, Pennsylvania","medincome",25414,1123
"181","42111","Somerset County, Pennsylvania","totpop",75522,NA
"182","42111","Somerset County, Pennsylvania","medage",45.7,0.3
"183","42111","Somerset County, Pennsylvania","totpopwhite",71988,241
"184","42111","Somerset County, Pennsylvania","bachdegree",5534,862
"185","42111","Somerset County, Pennsylvania","medincome",22910,1258
"186","42125","Washington County, Pennsylvania","totpop",208261,NA
"187","42125","Washington County, Pennsylvania","medage",44.2,0.3
"188","42125","Washington County, Pennsylvania","totpopwhite",195323,514
"189","42125","Washington County, Pennsylvania","bachdegree",29348,1851
"190","42125","Washington County, Pennsylvania","medincome",29296,1265
"191","42129","Westmoreland County, Pennsylvania","totpop",357956,NA
"192","42129","Westmoreland County, Pennsylvania","medage",46.8,0.3
"193","42129","Westmoreland County, Pennsylvania","totpopwhite",338957,660
"194","42129","Westmoreland County, Pennsylvania","bachdegree",45862,2676
"195","42129","Westmoreland County, Pennsylvania","medincome",27680,1091
"196","42133","York County, Pennsylvania","totpop",442867,NA
"197","42133","York County, Pennsylvania","medage",40.9,0.5
"198","42133","York County, Pennsylvania","totpopwhite",394840,2521
"199","42133","York County, Pennsylvania","bachdegree",46559,3016
"200","42133","York County, Pennsylvania","medincome",29667,1074
