"","GEOID","NAME","variable","estimate","moe"
"1","42001","Adams County, Pennsylvania","totpop",101105,0
"2","42001","Adams County, Pennsylvania","medage",37.6,0.7
"3","42001","Adams County, Pennsylvania","totpopwhite",93264,582
"4","42001","Adams County, Pennsylvania","bachdegree",7652,1137
"5","42001","Adams County, Pennsylvania","medincome",26072,1099
"6","42003","Allegheny County, Pennsylvania","totpop",1223411,0
"7","42003","Allegheny County, Pennsylvania","medage",41.7,0.3
"8","42003","Allegheny County, Pennsylvania","totpopwhite",1012469,1643
"9","42003","Allegheny County, Pennsylvania","bachdegree",164009,5410
"10","42003","Allegheny County, Pennsylvania","medincome",24140,464
"11","42005","Armstrong County, Pennsylvania","totpop",70096,0
"12","42005","Armstrong County, Pennsylvania","medage",43.1,0.4
"13","42005","Armstrong County, Pennsylvania","totpopwhite",NA,NA
"14","42005","Armstrong County, Pennsylvania","bachdegree",4886,878
"15","42005","Armstrong County, Pennsylvania","medincome",21469,1100
"16","42007","Beaver County, Pennsylvania","totpop",175736,0
"17","42007","Beaver County, Pennsylvania","medage",43.3,0.3
"18","42007","Beaver County, Pennsylvania","totpopwhite",161360,644
"19","42007","Beaver County, Pennsylvania","bachdegree",15752,1680
"20","42007","Beaver County, Pennsylvania","medincome",22549,1120
"21","42011","Berks County, Pennsylvania","totpop",401149,0
"22","42011","Berks County, Pennsylvania","medage",38.1,0.3
"23","42011","Berks County, Pennsylvania","totpopwhite",340569,2527
"24","42011","Berks County, Pennsylvania","bachdegree",38096,2697
"25","42011","Berks County, Pennsylvania","medincome",25306,609
"26","42013","Blair County, Pennsylvania","totpop",126494,0
"27","42013","Blair County, Pennsylvania","medage",40.4,0.6
"28","42013","Blair County, Pennsylvania","totpopwhite",122538,176
"29","42013","Blair County, Pennsylvania","bachdegree",11029,1373
"30","42013","Blair County, Pennsylvania","medincome",20250,863
"31","42017","Bucks County, Pennsylvania","totpop",623205,0
"32","42017","Bucks County, Pennsylvania","medage",40.2,0.3
"33","42017","Bucks County, Pennsylvania","totpopwhite",568408,1455
"34","42017","Bucks County, Pennsylvania","bachdegree",91633,4010
"35","42017","Bucks County, Pennsylvania","medincome",32451,849
"36","42019","Butler County, Pennsylvania","totpop",182901,0
"37","42019","Butler County, Pennsylvania","medage",40.2,0.4
"38","42019","Butler County, Pennsylvania","totpopwhite",178113,272
"39","42019","Butler County, Pennsylvania","bachdegree",23823,1777
"40","42019","Butler County, Pennsylvania","medincome",24600,951
"41","42021","Cambria County, Pennsylvania","totpop",146967,0
"42","42021","Cambria County, Pennsylvania","medage",42.5,0.4
"43","42021","Cambria County, Pennsylvania","totpopwhite",139861,218
"44","42021","Cambria County, Pennsylvania","bachdegree",10315,1315
"45","42021","Cambria County, Pennsylvania","medincome",18859,894
"46","42027","Centre County, Pennsylvania","totpop",140953,0
"47","42027","Centre County, Pennsylvania","medage",29.3,0.7
"48","42027","Centre County, Pennsylvania","totpopwhite",126712,1146
"49","42027","Centre County, Pennsylvania","bachdegree",15516,1564
"50","42027","Centre County, Pennsylvania","medincome",16513,1181
"51","42029","Chester County, Pennsylvania","totpop",482112,0
"52","42029","Chester County, Pennsylvania","medage",38.2,0.3
"53","42029","Chester County, Pennsylvania","totpopwhite",423030,2086
"54","42029","Chester County, Pennsylvania","bachdegree",90401,3399
"55","42029","Chester County, Pennsylvania","medincome",34664,1297
"56","42033","Clearfield County, Pennsylvania","totpop",82442,0
"57","42033","Clearfield County, Pennsylvania","medage",41.3,0.5
"58","42033","Clearfield County, Pennsylvania","totpopwhite",NA,NA
"59","42033","Clearfield County, Pennsylvania","bachdegree",4096,850
"60","42033","Clearfield County, Pennsylvania","medincome",18356,949
"61","42037","Columbia County, Pennsylvania","totpop",65014,0
"62","42037","Columbia County, Pennsylvania","medage",38.3,1
"63","42037","Columbia County, Pennsylvania","totpopwhite",63052,211
"64","42037","Columbia County, Pennsylvania","bachdegree",4670,796
"65","42037","Columbia County, Pennsylvania","medincome",18338,1200
"66","42039","Crawford County, Pennsylvania","totpop",89389,0
"67","42039","Crawford County, Pennsylvania","medage",39.3,0.5
