"","GEOID","NAME","variable","estimate","moe"
"1","42001","Adams County, Pennsylvania","totpop",101119,0
"2","42001","Adams County, Pennsylvania","medage",38.7,0.5
"3","42001","Adams County, Pennsylvania","totpopwhite",93397,985
"4","42001","Adams County, Pennsylvania","bachdegree",8097,1349
"5","42001","Adams County, Pennsylvania","medincome",26869,1138
"6","42003","Allegheny County, Pennsylvania","totpop",1215103,0
"7","42003","Allegheny County, Pennsylvania","medage",42,0.3
"8","42003","Allegheny County, Pennsylvania","totpopwhite",1003496,1783
"9","42003","Allegheny County, Pennsylvania","bachdegree",174460,5459
"10","42003","Allegheny County, Pennsylvania","medincome",26606,510
"11","42005","Armstrong County, Pennsylvania","totpop",68790,0
"12","42005","Armstrong County, Pennsylvania","medage",44.2,0.5
"13","42005","Armstrong County, Pennsylvania","totpopwhite",NA,NA
"14","42005","Armstrong County, Pennsylvania","bachdegree",4532,759
"15","42005","Armstrong County, Pennsylvania","medincome",22225,1129
"16","42007","Beaver County, Pennsylvania","totpop",172476,0
"17","42007","Beaver County, Pennsylvania","medage",43.9,0.3
"18","42007","Beaver County, Pennsylvania","totpopwhite",158598,347
"19","42007","Beaver County, Pennsylvania","bachdegree",15570,1617
"20","42007","Beaver County, Pennsylvania","medincome",23903,962
"21","42011","Berks County, Pennsylvania","totpop",403595,0
"22","42011","Berks County, Pennsylvania","medage",38.8,0.3
"23","42011","Berks County, Pennsylvania","totpopwhite",349235,3305
"24","42011","Berks County, Pennsylvania","bachdegree",41216,2997
"25","42011","Berks County, Pennsylvania","medincome",27326,760
"26","42013","Blair County, Pennsylvania","totpop",125174,0
"27","42013","Blair County, Pennsylvania","medage",41,0.9
"28","42013","Blair County, Pennsylvania","totpopwhite",121330,122
"29","42013","Blair County, Pennsylvania","bachdegree",11196,1551
"30","42013","Blair County, Pennsylvania","medincome",21504,994
"31","42017","Bucks County, Pennsylvania","totpop",621643,0
"32","42017","Bucks County, Pennsylvania","medage",41.6,0.3
"33","42017","Bucks County, Pennsylvania","totpopwhite",566186,1630
